beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
1.1,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5948239040634494,0.035588797839185705,37098.0,0.636944423452095
1.1,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5944712492009132,0.039508197312455626,11564.0,0.7796875496047947
1.1,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.4847823586791691,0.014579529158151498,16245.0,0.7178821592190054
1.1,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5681258124496187,0.0036157635426033717,inf,0.07777237442781595
1.1,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.49157974729675913,0.056980266887504766,10791.0,0.7926244671306546
1.1,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6052940275032056,0.03214000953920358,14523.0,0.741842985292786
1.1,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.6111687997687789,0.03437324031067943,22607.0,0.7096579826010772
1.1,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.4644717957689556,0.006866988482753851,88509.0,0.5479059661275333
1.1,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5717913103671877,0.0047930983099584955,inf,0.3820854647316583
1.1,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.367208902889381,0.12880846653481126,2705.0,0.9297972618385135
1.1,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5887984996022135,0.042234237616204734,32779.0,0.6742645870291386
1.1,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.6155438149776122,0.03074407613100329,13783.0,0.7695702257748711
1.1,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.43616689762387456,0.02544886571454677,6972.0,0.8366085830260263
1.1,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5831086909242492,0.012339016663476374,inf,0.577206806795862
1.1,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.4815681546349894,0.04163192169569321,7419.0,0.818569000692461
1.1,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.606891710532236,0.025662193403317924,7783.0,0.8331022653118071
1.1,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.6062000920551263,0.032414193665626624,8698.0,0.8188682296175959
1.1,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.5041057776072794,0.006883643057246691,inf,0.4399872166708379
1.1,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6722227659449347,0.0049734803485836756,inf,0.23698412065211114
1.2,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.34923470018072833,0.1598585110897537,16307.0,0.7776505486772215
1.2,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5959013557987145,0.04141474632258679,17729.0,0.732910550597578
1.2,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5984425433778886,0.038924086119978336,68464.0,0.6690731893713548
1.2,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.5004577628337957,0.00928997311816115,36205.0,0.6440391581148461
1.2,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5537644546845217,0.0009443357194816686,inf,0.08312237438394239
1.2,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.4450363773596855,0.09047634326513854,6557.0,0.8552214885734193
1.2,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5880134622423275,0.030320995009487997,48051.0,0.5697931327086374
1.2,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5956724508427474,0.028162535899441246,36639.0,0.639121675847701
1.2,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.5758437466181043,0.1288159161422429,25028.0,0.6769769831922878
1.2,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5630092845405675,0.0021792409083267756,inf,0.21254151164094784
1.2,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.5138661013102193,0.06452593226395181,25430.0,0.7236921814932511
1.2,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6067922097661542,0.031120392178459865,37118.0,0.6314322230200815
1.2,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.6129913115880128,0.041971480821418716,27992.0,0.6605375705551297
1.2,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.5098519587297599,0.007314463247484481,86949.0,0.6066555268118707
