beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.7,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.30843333158143194,0.05637922840805327,1874.0,0.9600155979589772
0.7,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5510136750248892,0.024770270286602048,2734.0,0.956850254800458
0.7,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5598523266660098,0.023190327135909093,2877.0,0.9419733899658104
0.7,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.7001744908043079,0.012061854591645193,1212992.0,0.42477792970013073
0.7,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6354836342006795,0.014205163264380203,10085.0,0.7987483691220392
0.7,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.34616107243197886,0.04575546495686744,2410.0,0.9706184636250459
0.7,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5537071793974795,0.030062627459083134,3960.0,0.9403479359153447
0.7,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5725214359072043,0.026672495386288634,3187.0,0.9548588005580954
0.7,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.617714874201972,0.007097314828746964,106669.0,0.4761151227550943
0.7,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6357167343599843,0.012244107991276223,11691.0,0.7748801620360181
0.8,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.3978025936836791,0.04172068233480093,1877.0,0.9796756479392643
0.8,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5554783832520389,0.035838866928283385,3604.0,0.9367840086038693
0.8,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5762440091701728,0.03581554274052574,3834.0,0.9253742494134307
0.8,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.5032400090413932,0.019270189159150044,10905.0,0.7915341137450264
0.8,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6380878368084235,0.011503483585369697,14321.0,0.744032979592966
0.8,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.347392071029627,0.051736513378943944,3024.0,0.9287607027198463
0.8,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5610403539270912,0.03321974937088276,3283.0,0.9367404478559568
0.8,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5858137572485159,0.034535125763856735,5320.0,0.8769159329662821
0.8,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.562142719463349,0.017115683976688487,12620.0,0.7786726881622203
0.8,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6310205969037852,0.007544631086860187,22703.0,0.6824696012737721
0.8,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.3622965954956293,0.06008863161936864,1924.0,0.9766121033410521
0.8,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5728412495406549,0.0362425233441872,3593.0,0.9216468814323647
0.8,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5905946110733191,0.030094069624354066,3376.0,0.9464162212065463
0.8,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.5807731206236113,0.00933117290278725,42100.0,0.6214428838166498
