seed,curve_key,Q,R_Q
114,spectral,500,0.2971020899446172
114,parity_sim,500,0.3666425694317433
114,parity_hw,500,0.2783877876944511
114,mse_sim,500,0.37919625085448444
114,mse_hw,500,0.25687313463284617
114,target,501,0.46520321078851684
114,uniform,501,0.11514313942536182
114,spectral,501,0.2975637794703364
114,parity_sim,501,0.36705676241021534
114,parity_hw,501,0.2787930042587603
114,mse_sim,501,0.379656074160143
114,mse_hw,501,0.25726670003108304
114,target,521,0.4767926347076846
114,uniform,521,0.11945372332873881
114,spectral,521,0.30670702562520447
114,parity_sim,521,0.3751972575993405
114,parity_hw,521,0.2868047306948502
114,mse_sim,521,0.38870675941760474
114,mse_hw,521,0.265061993042903
114,target,541,0.48803474372501776
114,uniform,541,0.1237433082045705
114,spectral,541,0.3156803868542328
114,parity_sim,541,0.38307465741167745
114,parity_hw,541,0.29464387580856716
114,mse_sim,541,0.39748850569443284
114,mse_hw,541,0.2727152378002061
114,target,562,0.4994803815012869
114,uniform,562,0.12822488404591287
114,spectral,562,0.32492363138163893
114,parity_sim,562,0.39107789151536887
114,parity_hw,562,0.3026951500824765
114,mse_sim,562,0.406433213790772
114,mse_hw,562,0.28060252611000763
114,target,582,0.5100532589050693
114,uniform,582,0.1324717401755642
114,spectral,582,0.3335602158978349
114,parity_sim,582,0.3984581506763937
114,parity_hw,582,0.31019717318460327
114,mse_sim,582,0.4147009101875889
114,mse_hw,582,0.28797658996746617
114,target,584,0.5110934617210373
114,uniform,584,0.13289528624996785
114,spectral,584,0.33441507960656003
114,parity_sim,584,0.39918367793108656
114,parity_hw,584,0.31093867406566406
114,mse_sim,584,0.41551463635750185
114,mse_hw,584,0.2887067540393237
114,target,602,0.5203191683281148
114,uniform,602,0.1366979077277884
114,spectral,602,0.34203793950369193
114,parity_sim,602,0.40561462386981756
114,parity_hw,602,0.3175424522757632
114,mse_sim,602,0.4227345674435342
114,mse_hw,602,0.2952200342069875
114,target,622,0.5302900496707238
114,uniform,622,0.1409034874870763
114,spectral,622,0.3503602404325541
114,parity_sim,622,0.4125584870630658
114,parity_hw,622,0.32473577685273114
114,mse_sim,622,0.43054427943083595
114,mse_hw,622,0.30233632599650007
114,target,630,0.5341983581754514
114,uniform,630,0.14257997729096025
114,spectral,630,0.35364639673254816
114,parity_sim,630,0.41527886385371043
114,parity_hw,630,0.3275715970114205
114,mse_sim,630,0.4336076087838533
114,mse_hw,630,0.3051479922688055
114,target,643,0.5404543760886187
114,uniform,643,0.14529729835540794
114,spectral,643,0.3589350527045084
114,parity_sim,643,0.41963213793003273
114,parity_hw,643,0.3321302632758828
114,mse_sim,643,0.43851385635695084
114,mse_hw,643,0.30967523715059464
114,target,663,0.5498553746302948
114,uniform,663,0.14946098614722667
114,spectral,663,0.3669491373190801
114,parity_sim,663,0.42617205492768057
114,parity_hw,663,0.3390262860433231
114,mse_sim,663,0.4458936282466525
114,mse_hw,663,0.31654117427352296
114,target,681,0.5580919410025478
114,uniform,681,0.1531909600137202
114,spectral,681,0.3740373723957916
114,parity_sim,681,0.43190142090670175
114,parity_hw,681,0.3451142139690237
114,mse_sim,681,0.45236711936895124
114,mse_hw,681,0.3226201058236755
114,target,683,0.5589943268261778
114,uniform,683,0.15360439051652366
114,spectral,683,0.3748177813281019
114,parity_sim,683,0.432529151175921
114,parity_hw,683,0.3457838588637735
114,mse_sim,683,0.45307682411677663
114,mse_hw,683,0.323289771144585
114,target,703,0.5678810222046109
114,uniform,703,0.15772761027407645
